date,avg_stay_monthly,hotel_occ,spend_per_capita,tourism_receipts,avg_stay_annual,visitor_arrivals,visitor_arrivals_china,year,month,quarter,period,china_share,china_share_pct,avg_stay_monthly_capped,visitor_arrivals_millions,visitor_arrivals_china_thousands,cluster_z_visitor_arrivals,cluster_z_china_share,cluster_z_hotel_occ,cluster_z_avg_stay_monthly_capped,hotel_occ_level_tertile,hotel_occ_level_business,dataset_split
2021-11-01,16.08366534,78.01185369,NA,NA,NA,41179,3479,2021,11,4,covid_shock,0.08448481021880085,8.448481021880085,16.08366534,0.041179,3.479,-1.6384200580921973,-0.7490148857354996,0.08836358695496438,0.7671725476499959,medium,medium,train
2021-12-01,13.19731529,74.31743125,5737.25018756,1893.63105965,22.41620607,92796,4764,2021,12,4,covid_shock,0.05133841975947239,5.133841975947239,13.19731529,0.092796,4.764,-1.5538081108752153,-1.0249802738647737,-0.20389911951981898,0.47295707221330496,low,medium,train
2022-01-01,18.81575577,57.53170374,NA,NA,NA,57174,4361,2022,1,1,recovery,0.076275929618358,7.627592961835799,18.81575577,0.057174,4.361,-1.6122006324042335,-0.8173591877730848,-1.5318041525514046,1.045663815470572,low,low,train
2022-02-01,16.87029768,62.67308531,NA,NA,NA,67765,3823,2022,2,1,recovery,0.05641555375193684,5.6415553751936836,16.87029768,0.067765,3.823,-1.5948395859859013,-0.9827098114283287,-1.1250737049451551,0.8473566569568267,low,low,train
2022-03-01,12.4513501,60.58287962,NA,1417.14408657,NA,121207,4131,2022,3,1,recovery,0.034082189972526336,3.4082189972526336,12.4513501,0.121207,4.131,-1.5072360506551004,-1.168649677525657,-1.2904281499144727,0.3969183037918963,low,low,train
2022-04-01,7.34171785,66.39493782,NA,NA,NA,295095,5048,2022,4,2,recovery,0.01710635558040631,1.710635558040631,7.34171785,0.295095,5.048,-1.2221942567177047,-1.3099846060629887,-0.8306410282985272,-0.12392388641313415,low,low,train
2022-05-01,6.09692411,72.77220727,NA,NA,NA,418458,7150,2022,5,2,recovery,0.017086541540608617,1.7086541540608617,6.09692411,0.418458,7.15,-1.0199743748080907,-1.3101495709085544,-0.326140511737147,-0.2508099451691457,low,medium,train
2022-06-01,5.6905102,78.07311692,NA,4572.52438757,NA,543733,10191,2022,6,2,recovery,0.018742654942775223,1.8742654942775223,5.6905102,0.543733,10.191,-0.8146202920910127,-1.2963613432469094,0.09321007045758994,-0.2922370969987494,medium,medium,train
2022-07-01,5.12494991,79.14111572,NA,NA,NA,726739,16622,2022,7,3,recovery,0.022872035214843295,2.2872035214843294,5.12494991,0.726739,16.622,-0.5146320321690685,-1.2619815506443661,0.17769857302304656,-0.3498865805083684,medium,medium,train
2022-08-01,4.8721631500000004,77.14465378,NA,NA,NA,728744,14735,2022,8,3,recovery,0.02021972050541754,2.021972050541754,4.8721631500000004,0.728744,14.735,-0.511345383309777,-1.2840638059996146,0.0197601186544395,-0.3756539945396293,low,medium,train
2022-09-01,4.38206123,82.84273883,NA,9083.61939613,NA,782215,14127,2022,9,3,recovery,0.01806025197675831,1.8060251976758308,4.38206123,0.782215,14.127,-0.4236943104144278,-1.3020427944326274,0.4705309185515145,-0.4256117498040108,medium,medium,train
2022-10-01,4.38539838,84.43229195,NA,NA,NA,816833,14971,2022,10,4,recovery,0.01832810378620844,1.832810378620844,4.38539838,0.816833,14.971,-0.36694757215460094,-1.2998127528645498,0.5962791524044461,-0.4252715827567555,high,medium,train
2022-11-01,4.1465637,85.82235138,NA,NA,NA,816340,16024,2022,11,4,recovery,0.019629076120244015,1.9629076120244016,4.1465637,0.81634,16.024,-0.367755710751923,-1.2889813069625262,0.7062456052859398,-0.44961681383050206,high,high,train
2022-12-01,4.16434421,78.17278384,2248.38016725,14177.70974938,5.04255892,931441,19685,2022,12,4,recovery,0.021133920452288443,2.1133920452288444,4.16434421,0.931441,19.685,-0.1790791170594992,-1.276452493284417,0.10109463814260075,-0.44780438598476763,medium,medium,train
2023-01-01,4.32066786,71.27251632,NA,NA,NA,931814,28375,2023,1,1,recovery,0.030451356171939895,3.0451356171939894,4.32066786,0.931814,28.375,-0.17846768562582552,-1.1988787445560836,-0.44477982357576273,-0.43186978477215693,low,medium,train
2023-02-01,3.787811,85.08789048,NA,NA,NA,957844,35312,2023,2,1,recovery,0.03686612851362017,3.686612851362017,3.787811,0.957844,35.312,-0.13579862337776694,-1.1454715676508067,0.6481430103823895,-0.48618569645605075,high,high,train
2023-03-01,3.79990501,80.04863102,NA,6017.94372289,NA,1021040,60888,2023,3,1,recovery,0.059633315051320225,5.963331505132023,3.79990501,1.02104,60.888,-0.03220607409508117,-0.9559198432421613,0.24949135851329365,-0.4849529128918791,medium,medium,train
2023-04-01,3.7549784,78.97420137,NA,NA,NA,1128610,90725,2023,4,2,recovery,0.08038649311985539,8.03864931198554,3.7549784,1.12861,90.725,0.14412550585204376,-0.7831360570972827,0.16449411671823944,-0.4895324350191098,medium,medium,train
2023-05-01,3.85334687,80.72367828,NA,NA,NA,1112512,95613,2023,5,2,recovery,0.08594334263360755,8.594334263360755,3.85334687,1.112512,95.613,0.11773723984861514,-0.7368716490701033,0.3028937894507765,-0.47950540237661043,medium,medium,train
2023-06-01,4.00308787,81.06717027,NA,12445.99017278,NA,1129310,113290,2023,6,2,recovery,0.10031789322683762,10.031789322683762,4.00308787,1.12931,113.29,0.14527296430665926,-0.6171941101684815,0.33006715694737776,-0.4642417930623606,medium,medium,train
2023-07-01,3.81994859,90.29539758,NA,NA,NA,1419642,231331,2023,7,3,recovery,0.16295023674982848,16.295023674982847,3.81994859,1.419642,231.331,0.6211928329429768,-0.09573887023891518,1.0601045940264764,-0.48290980262562655,high,high,train
2023-08-01,4.00239147,86.27374369,NA,NA,NA,1312693,215442,2023,8,3,recovery,0.1641221519426096,16.41221519426096,4.00239147,1.312693,215.442,0.44587921256773216,-0.08598190947942418,0.7419548779381776,-0.46431277948242217,high,high,train
2023-09-01,3.65395109,82.67366269,NA,20307.57071465,NA,1130762,135677,2023,9,3,recovery,0.11998722985031333,11.998722985031334,3.65395109,1.130762,135.677,0.1476531209868045,-0.45343401320699783,0.4571554448261249,-0.4998304922640168,medium,medium,train
2023-10-01,3.55358812,77.66917522,NA,NA,NA,1125964,122765,2023,10,4,recovery,0.10903101697745221,10.903101697745221,3.55358812,1.125964,122.765,0.13978811289359724,-0.5446516539813692,0.061254576353340626,-0.5100608310736799,low,medium,train
2023-11-01,3.41625483,78.29516881,NA,NA,NA,1100459,104347,2023,11,4,recovery,0.09482134273062422,9.482134273062421,3.41625483,1.100459,104.347,0.09797964448650026,-0.6629564894212364,0.11077641199086674,-0.5240596803160423,medium,medium,train
2023-12-01,3.54934946,73.94906972,1995.2781706,27155.50603753,3.791459,1231565,130156,2023,12,4,recovery,0.1056834190643612,10.56834190643612,3.54934946,1.231565,130.156,0.3128920561305252,-0.5725225969282479,-0.23303989577576675,-0.5104928921007597,low,medium,train
